年,月,日,平均気温(℃),最高気温(℃),最低気温(℃),天気概況(昼),天気概況(夜)
1996,9,11,23.6,28.1,20.1,晴,晴
1996,9,12,23.1,27.9,18.9,晴,晴
1996,9,13,22.0,25.4,19.3,曇,雨一時曇
1996,9,14,18.1,20.0,15.7,雨,曇時々雨
1996,9,15,22.0,25.8,19.4,晴時々曇一時雨,晴一時曇
1996,9,16,22.7,27.1,19.4,晴,晴一時曇
1996,9,17,22.8,27.3,19.7,曇時々晴,曇一時雨
1996,9,18,23.2,27.2,20.2,晴時々曇,晴
1996,9,19,23.9,28.6,20.2,晴,晴
1996,9,20,23.8,28.5,20.1,曇時々晴,曇時々雨
1996,9,21,22.3,24.9,19.9,曇一時雨,雨時々曇
1996,9,22,19.3,23.2,17.7,暴風雨,晴
1996,9,23,23.4,27.9,18.0,曇一時晴,曇一時雨
1996,9,24,22.5,26.2,20.1,曇時々晴,晴
1996,9,25,19.9,23.5,17.5,曇後時々雨,曇時々雨
1996,9,26,20.2,22.3,18.6,雨時々曇,曇後晴、霧を伴う
1996,9,27,20.1,23.8,18.0,曇一時雨、雷を伴う,晴
1996,9,28,19.2,23.6,14.8,晴,晴後一時曇
1996,9,29,19.5,23.2,15.7,晴時々曇,曇後一時雨
1996,9,30,16.7,19.9,14.9,雨,雨一時曇
1996,10,1,17.3,18.8,15.5,雨時々曇,曇後晴
1996,10,2,19.9,24.5,16.5,晴,晴
1996,10,3,20.2,24.4,17.3,曇時々晴,曇時々雨
1996,10,4,20.9,24.1,18.2,曇一時雨後時々晴,晴後曇
1996,10,5,20.2,22.9,17.8,曇後晴,晴後曇
1996,10,6,20.4,22.8,17.9,曇一時晴,曇後晴
1996,10,7,23.0,27.2,17.6,晴時々曇,曇後雨
1996,10,8,16.2,21.9,14.4,雨,雨一時曇
1996,10,9,17.7,20.6,14.3,曇一時雨,曇一時晴
1996,10,10,18.6,20.9,15.7,曇時々晴,曇一時晴
1996,10,11,18.9,20.8,16.9,曇一時雨,曇
1996,10,12,19.0,22.1,16.8,曇,雨一時曇
1996,10,13,19.4,23.7,16.0,晴時々曇,晴
1996,10,14,17.5,19.5,15.5,曇後雨,雨一時曇
1996,10,15,19.1,23.9,15.5,晴一時曇,晴
1996,10,16,17.6,22.1,14.6,晴,晴
1996,10,17,17.4,21.5,12.8,晴,晴一時曇
1996,10,18,18.4,22.8,13.8,晴,晴
1996,10,19,18.4,23.0,15.0,晴一時曇,曇一時雨、雷を伴う
1996,10,20,16.6,20.6,13.1,晴時々曇一時雨,晴
1996,10,21,15.0,19.3,10.2,晴,晴
1996,10,22,15.9,20.2,10.8,晴,晴
1996,10,23,16.3,20.8,11.8,晴一時曇,晴一時曇
1996,10,24,16.8,20.3,13.2,晴時々曇一時雨,曇一時雨
1996,10,25,17.9,20.0,15.5,曇時々雨,曇時々雨
1996,10,26,17.6,24.5,11.4,曇一時雨,曇一時雨後晴
1996,10,27,12.8,15.7,9.3,晴,晴後一時曇
1996,10,28,12.7,14.9,9.9,曇時々雨,曇時々雨後一時晴
1996,10,29,17.8,23.2,12.5,晴,晴
1996,10,30,19.2,24.7,14.2,晴,晴
1996,10,31,18.2,21.9,15.5,曇一時晴,雨時々曇
1996,11,1,16.0,17.4,14.9,雨一時曇,霧雨一時曇
1996,11,2,14.7,16.4,13.1,雨一時曇,曇時々雨
1996,11,3,15.4,17.9,13.2,曇,曇一時晴
1996,11,4,15.9,19.8,13.0,曇時々晴,晴後曇
1996,11,5,15.7,17.6,14.3,雨時々曇,雨時々曇
1996,11,6,16.2,24.2,10.2,晴,快晴
1996,11,7,12.7,16.0,8.4,晴後一時曇,曇後一時雨
1996,11,8,11.4,12.7,10.4,雨,雨一時曇
1996,11,9,15.1,17.6,11.9,曇一時雨,曇後晴
1996,11,10,18.1,22.1,14.4,曇,曇
1996,11,11,16.2,18.6,14.6,曇後雨,雨
1996,11,12,15.6,17.5,13.1,曇一時雨,曇時々雨
1996,11,13,10.0,14.0,8.2,晴一時雨,晴後曇
1996,11,14,10.0,13.3,6.7,曇時々晴,晴
1996,11,15,12.4,17.5,6.9,晴,晴
1996,11,16,11.0,14.6,8.5,晴,晴
1996,11,17,11.8,17.6,5.9,晴,晴後曇一時雨
1996,11,18,13.0,17.2,8.1,曇一時雨,曇一時雨
1996,11,19,13.3,18.8,9.2,晴,晴後曇
1996,11,20,8.5,10.3,7.2,曇後時々雨,曇時々雨
1996,11,21,14.3,20.4,8.8,晴,晴
1996,11,22,13.6,17.5,10.7,晴,晴
1996,11,23,11.8,14.4,8.4,曇時々晴,曇
1996,11,24,12.9,16.3,9.9,曇時々晴,曇時々晴一時雨
1996,11,25,14.4,20.5,10.8,晴,晴
1996,11,26,11.6,14.8,8.3,晴後一時曇,曇
1996,11,27,10.3,12.4,9.2,雨時々曇,雨後晴
1996,11,28,12.6,16.5,9.2,曇時々晴,晴後一時曇
1996,11,29,11.9,14.9,9.3,曇一時晴,曇後晴
1996,11,30,9.4,12.2,5.8,曇時々晴一時雨,晴一時雨
1996,12,1,6.8,11.1,3.6,晴一時曇,快晴
1996,12,2,7.1,11.1,3.7,快晴,快晴
1996,12,3,7.9,12.4,3.6,快晴,快晴
1996,12,4,8.6,12.8,4.0,晴後薄曇,曇後一時雨
1996,12,5,14.4,18.6,6.6,雨一時曇,曇一時雨
1996,12,6,10.8,17.8,6.9,曇時々晴一時雨,曇
1996,12,7,8.1,12.0,4.3,晴後一時曇,曇後晴
1996,12,8,8.2,12.9,4.5,快晴,快晴
1996,12,9,9.1,13.6,4.0,晴後曇,曇後晴
1996,12,10,10.3,14.5,6.0,晴時々曇,曇時々雨
1996,12,11,11.0,14.9,7.3,晴,晴
1996,12,12,11.7,16.4,7.2,晴一時曇,晴後曇
1996,12,13,10.4,11.9,8.8,曇一時雨,曇一時雨
1996,12,14,10.5,15.1,7.8,晴一時雨,晴
1996,12,15,10.5,13.9,8.4,晴時々曇,曇一時晴
1996,12,16,11.1,15.0,7.3,晴一時曇,晴一時曇
1996,12,17,13.4,17.4,9.2,晴後曇,雨時々曇後一時晴
1996,12,18,12.2,15.6,6.6,曇時々雨,曇時々雨
1996,12,19,7.6,10.9,4.6,晴一時曇,快晴
1996,12,20,7.5,10.7,4.3,晴,晴
1996,12,21,8.3,12.5,3.1,晴後薄曇,晴
1996,12,22,9.3,13.0,5.0,快晴,快晴
1996,12,23,8.5,12.6,5.1,快晴,晴後一時曇
1996,12,24,6.6,10.0,2.9,曇後晴,快晴
1996,12,25,8.7,14.6,2.7,快晴,快晴
1996,12,26,9.1,12.9,6.1,晴後曇,曇一時晴
1996,12,27,7.1,9.9,3.7,晴,晴一時曇
1996,12,28,7.8,15.1,3.1,快晴,晴
1996,12,29,7.6,11.4,4.4,晴一時曇,快晴
1996,12,30,8.8,16.3,2.4,快晴,晴
1996,12,31,9.7,14.7,5.9,晴,晴
1997,1,1,11.2,15.9,6.4,晴,晴一時雨
1997,1,2,12.2,16.4,7.0,晴,快晴
1997,1,3,7.5,12.4,4.3,晴,快晴
1997,1,4,6.5,10.6,4.0,晴後一時曇,晴
1997,1,5,4.6,8.7,1.9,晴後一時雨,雨後一時曇
1997,1,6,7.9,14.4,1.9,快晴,快晴
1997,1,7,7.6,13.3,2.1,快晴,晴
1997,1,8,6.8,9.4,4.2,晴一時曇,晴
1997,1,9,6.3,10.3,2.6,晴,晴時々曇
1997,1,10,6.3,10.7,2.6,晴,快晴
1997,1,11,6.8,11.2,3.8,快晴,快晴
1997,1,12,5.8,9.8,1.7,快晴,快晴
1997,1,13,5.8,10.0,2.1,快晴,晴後一時曇
1997,1,14,7.6,13.9,2.2,晴後一時曇,曇後晴
1997,1,15,6.7,10.2,3.3,晴,晴
1997,1,16,4.9,8.3,2.2,晴時々曇,晴
1997,1,17,7.8,12.8,2.3,快晴,晴
1997,1,18,9.5,15.7,4.6,晴,晴
1997,1,19,7.5,12.2,4.7,晴後一時曇,曇一時雨後晴
1997,1,20,7.9,11.9,2.6,晴,快晴
1997,1,21,7.1,14.2,1.5,晴,晴後曇
1997,1,22,1.7,4.9,-2.1,晴,晴
1997,1,23,6.7,10.7,1.3,晴後一時曇,曇一時晴
1997,1,24,6.9,12.0,3.6,曇一時晴後雨,雨後曇
1997,1,25,5.3,8.5,3.1,晴一時雪,快晴
1997,1,26,5.6,11.6,0.0,晴,晴
1997,1,27,6.8,11.0,1.4,快晴,快晴
1997,1,28,7.5 ),12.0,3.0,快晴,快晴
1997,1,29,6.6,10.5,3.6,晴一時曇,晴
1997,1,30,4.1,8.0,1.3,晴,快晴
1997,1,31,5.0,7.6,0.7,曇一時晴,曇一時雨後晴
1997,2,1,5.7,9.9,2.1,晴,晴
1997,2,2,5.6,8.6,1.5,晴後一時曇,雨一時曇
1997,2,3,5.4,9.1,2.9,雨後曇,曇一時雨後晴
1997,2,4,5.6,8.4,3.0,快晴,晴
1997,2,5,6.6,10.1,3.3,晴,曇一時雨
1997,2,6,6.5,9.4,3.7,曇一時雨,晴
1997,2,7,7.7,11.7,4.7,晴,晴後曇
1997,2,8,7.0,10.2,4.2,曇一時雨,曇後晴
1997,2,9,8.6,12.5,4.8,晴,曇後晴
1997,2,10,8.9,12.3,4.9,晴,曇
1997,2,11,7.9,12.6,3.0,曇時々晴一時雨,曇一時雨、雷を伴う
1997,2,12,6.5,10.4,2.9,晴,晴
1997,2,13,5.2,9.5,1.1,晴,晴
1997,2,14,6.1,10.8,1.8,晴,晴
1997,2,15,7.0,11.2,2.0,曇時々晴,曇後雨
1997,2,16,6.6,9.3,4.0,雨後曇,曇時々晴
1997,2,17,7.6,11.8,5.0,曇時々晴,曇
1997,2,18,6.2,10.9,3.3,晴時々曇,曇一時雪
1997,2,19,5.1,9.0,0.5,晴,快晴
1997,2,20,7.2,12.1,0.9,快晴,快晴
1997,2,21,5.9,13.9,0.5,晴,快晴
1997,2,22,1.4,4.6,-1.4,晴,快晴
1997,2,23,5.0,9.6,-0.4,快晴,晴
1997,2,24,7.7,13.1,2.3,晴一時曇,快晴
1997,2,25,10.7,16.1,3.9,晴,晴
1997,2,26,12.8,18.0,8.4,晴後曇,曇
1997,2,27,9.5,13.4,7.2,曇一時雨後晴,晴後曇一時雨
1997,2,28,10.8,13.9,6.7,曇一時晴,曇後晴
1997,3,1,13.9,20.0,6.7,曇一時雨,曇
1997,3,2,7.7,11.3,4.6,曇,曇
1997,3,3,6.3,7.7,5.2,曇後一時雨,曇時々雨
1997,3,4,7.8,11.4,4.0,晴一時曇,快晴
1997,3,5,10.3,15.2,5.0,快晴,晴
1997,3,6,11.6,15.6,6.7,曇一時雨後晴,晴
1997,3,7,17.1,21.9,13.4,晴,晴後曇
1997,3,8,11.9,15.7,9.1,晴一時曇,晴一時雨
1997,3,9,9.8,14.6,6.6,快晴,晴
1997,3,10,9.8,14.3,4.6,晴後曇,曇後晴
1997,3,11,12.8,20.2,7.7,晴,晴後曇
1997,3,12,9.8,14.7,6.1,晴,晴
1997,3,13,9.4,13.7,4.6,曇一時晴,曇
1997,3,14,13.6,18.4,9.2,晴,晴後雨
1997,3,15,8.1,12.2,6.2,曇時々雨,曇後雨
1997,3,16,5.1,6.4,4.3,雨,曇時々雨後晴
1997,3,17,7.5,12.4,3.5,晴後一時曇,曇一時雨
1997,3,18,9.6,13.4,5.6,晴後一時曇,晴時々曇
1997,3,19,10.3,14.4,6.9,曇,曇後一時晴
1997,3,20,10.2,13.0,8.0,晴後時々曇,晴
1997,3,21,11.5,15.7,6.3,晴,曇後雨
1997,3,22,10.4,13.1,8.4,雨時々曇,雨時々曇
1997,3,23,7.6,9.6,5.4,雨一時曇,雨時々曇後一時晴
1997,3,24,6.7,10.1,4.2,晴,快晴
1997,3,25,10.0,15.9,3.0,晴,曇
1997,3,26,13.3,17.5,10.4,晴,曇後雨、雷を伴う
1997,3,27,9.7,11.9,8.4,雨一時曇,晴一時曇
1997,3,28,12.8,17.2,6.3,晴,曇
1997,3,29,14.8,17.4,12.0,曇後一時雨,大雨後一時晴
1997,3,30,16.0,25.1,10.4,晴,晴後一時曇
1997,3,31,11.1,14.6,7.9,晴一時曇,晴
1997,4,1,12.3,15.7,8.0,晴一時曇,晴後曇
1997,4,2,13.8,16.7,11.1,曇,曇時々雨
1997,4,3,12.0,14.5,10.5,雨時々曇,雨時々曇
1997,4,4,14.5,18.8,10.7,曇一時雨後時々晴,雨時々曇
1997,4,5,14.4,15.8,13.3,雨後曇,曇一時霧雨、霧を伴う
1997,4,6,13.5,14.9,12.6,雨一時曇,雨一時曇
1997,4,7,13.7,16.5,10.9,雨時々曇、雷を伴う,曇時々雨後一時晴、雷を伴う
1997,4,8,16.4,22.0,10.3,晴,曇
1997,4,9,16.9,20.9,12.9,晴後薄曇,曇後一時晴
1997,4,10,15.6,19.8,12.6,晴,晴
1997,4,11,14.9,19.4,10.5,晴後一時曇,曇時々晴一時雨
1997,4,12,14.0,17.5,8.8,晴,快晴
1997,4,13,16.8,22.4,9.5,晴,曇
1997,4,14,16.7,22.2,12.0,晴,晴後曇
1997,4,15,12.1,13.3,10.6,曇後一時雨,曇一時雨
1997,4,16,11.8,15.7,8.9,晴時々曇,曇一時雨
1997,4,17,14.1,18.3,9.9,晴一時曇,晴
1997,4,18,17.1,22.2,11.2,晴時々曇,曇後雨
1997,4,19,13.6,17.1,11.0,曇時々雨後一時晴,晴後曇
1997,4,20,14.9,18.5,12.1,晴時々曇,曇後一時晴
1997,4,21,16.3,20.3,13.5,曇時々晴,曇後一時雨
1997,4,22,17.2,20.6,14.5,曇時々雨後一時晴,晴
1997,4,23,12.8,16.2,9.9,雨時々曇,晴
1997,4,24,14.0,18.5,9.6,晴,晴
1997,4,25,15.2,20.0,11.1,快晴,快晴
1997,4,26,16.9,22.3,11.8,快晴,快晴
